0,Pretzel
1,Sapporo
2,Coca Cola
3,Warsteiner
4,Gambrinus Premium
5,Coreff Ambree
6,Tater Tots
7,Onion Rings
8,Carlsberg
9,Guinness
10,Singha Beer
11,Coors
12,Club Soda
13,Carlsberg
14,Sweet Tea
15,Cass
16,Sweet Tea
17,Potato Skins
18,French Fries
19,Cheeseburger
20,Tuborg
21,Tecate
22,Sweet Tea
23,Grolsch
24,Onion Rings
25,Ichnusa Beer
26,Nachos
27,Sweet Tea
28,Quesadilla
29,Root Beer
30,Lasko
31,Hite
32,Coreff Ambree
33,Birra Moretti
34,Root Beer
35,Club Soda
36,Wings
37,Budvar Svetly Lezak
38,Newcastle Brown Ale
39,Caffrey's
40,Nachos
41,Sweet Tea
42,Club Soda
43,Root Beer
44,Club Soda
45,Root Beer
46,Timisoreana
47,Asahi
48,Tsingtao
49,Nachos
50,Singha Beer
51,OB Golden Lager
52,Caffrey's
53,Pretzel
54,Duvel
55,French Fries
56,Asahi
57,Coca Cola
58,Club Soda
59,Cheeseburger
60,Tater Tots
61,Guinness
62,Quesadilla
63,Chimay Blue Top
64,Potato Skins
65,Lasko
66,Gambrinus Premium
67,Cheeseburger
68,Sweet Tea
69,Club Soda
70,Labatts Blue
71,Coreff Ambree
72,Tiger Beer
73,Coreff Ambree
74,Asahi
75,Gambrinus Premium
76,Potato Skins
77,Sweet Tea
78,Coca Cola
79,Pabst Blue Ribbon
80,Gambrinus Premium
81,Root Beer
82,Coca Cola
83,Onion Rings
84,Sweet Tea
85,Pabst Blue Ribbon
86,Hite
87,Carling Black Label
88,Onion Rings
89,Dreher
90,Sweet Tea
91,Pabst Blue Ribbon
92,Sweet Tea
93,Tecate
94,Coors
95,Pretzel
96,Union
97,Coors
98,Root Beer
99,Pabst Blue Ribbon
100,OB Golden Lager
101,Sweet Tea
102,Pilsner Urquell
103,Caffrey's
104,Pretzel
105,Root Beer
106,Dreher
107,Coca Cola
108,Budweiser
109,Coca Cola
110,Sapporo
111,Stiegl Bier
112,Coca Cola
113,Stiegl Bier
114,Budweiser
115,Kronenbourg
116,Carling Black Label
117,Sweet Tea
118,Cheeseburger
119,Carling Black Label
120,Guinness
121,Sprite
122,Potato Skins
123,Sweet Tea
124,Singha Beer
125,Coca Cola
126,Tsingtao
127,French Fries
128,Club Soda
129,Quesadilla
130,Chimay Blue Top
131,Sweet Tea
